,Date,Avg temperature (F),Precip Inches,Cloud Cover,Wind Speed(Miles)
423,2017-02-27,34,0.0,20.125,7.625
424,2017-02-28,30,0.1,57.125,4.5
425,2017-03-01,28,0.0,3.625,4.0
426,2017-03-02,34,0.0,5.25,5.75
427,2017-03-03,45,0.0,16.625,5.5
428,2017-03-04,50,0.0,16.75,7.875
429,2017-03-05,51,0.0,15.875,8.875
430,2017-03-06,33,0.0,42.75,14.375
431,2017-03-07,34,0.0,5.625,8.875
432,2017-03-08,48,0.0,8.625,7.875
433,2017-03-09,53,0.0,6.875,7.625
434,2017-03-10,48,0.0,28.375,4.375
435,2017-03-11,42,0.0,33.375,4.0
436,2017-03-12,47,0.0,22.25,10.75
437,2017-03-13,44,0.0,25.25,4.75
438,2017-03-14,54,0.0,16.25,6.875
439,2017-03-15,58,0.0,10.25,7.0
440,2017-03-16,59,0.0,24.75,7.75
441,2017-03-17,57,0.0,7.0,5.5
442,2017-03-18,62,0.0,1.875,3.625
443,2017-03-19,63,0.0,5.5,6.5
444,2017-03-20,62,0.0,46.375,6.5
445,2017-03-21,55,0.0,24.0,3.375
446,2017-03-22,56,0.0,8.75,5.125
447,2017-03-23,58,0.0,12.0,10.75
448,2017-03-24,40,0.4,55.5,12.375
449,2017-03-25,49,0.0,11.0,4.625
450,2017-03-26,44,0.0,30.375,5.375
451,2017-03-27,48,0.1,16.25,4.25
452,2017-03-28,41,0.0,46.0,7.875
453,2017-03-29,43,0.0,45.75,8.0
454,2017-03-30,52,0.0,27.625,4.375
455,2017-03-31,38,0.1,66.75,4.75
456,2017-04-01,35,0.0,73.0,3.25
457,2017-04-02,47,0.0,18.25,3.375
458,2017-04-03,44,0.0,33.625,7.0
459,2017-04-04,31,0.30000000000000004,91.5,5.375
460,2017-04-05,37,0.0,20.125,4.0
461,2017-04-06,47,0.0,7.375,5.5
462,2017-04-07,57,0.0,9.625,7.75
463,2017-04-08,59,0.0,14.875,8.125
464,2017-04-09,47,0.0,1.25,10.5
465,2017-04-10,45,0.0,6.0,4.125
466,2017-04-11,53,0.0,22.5,5.875
467,2017-04-12,59,0.0,3.75,5.875
468,2017-04-13,62,0.0,6.25,7.0
469,2017-04-14,64,0.0,0.625,5.125
470,2017-04-15,56,0.0,7.75,4.75
471,2017-04-16,57,0.0,14.625,4.375
